title,artist,spotify_url,duration_ms,release_year
Another One Bites The Dust,Queen,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7,214653,1980.0
Say It Right,Nelly Furtado,https://open.spotify.com/track/2aI21FnmY7TJVKeMaoQZ0t,223080,2006.0
Grenade,Bruno Mars,https://open.spotify.com/track/4lLtanYk6tkMvooU0tWzG8,222091,2010.0
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI,198081,2021.0
Chandelier,Sia,https://open.spotify.com/track/4VrWlk8IQxevMvERoX08iC,216120,2014.0
New Rules,Dua Lipa,https://open.spotify.com/track/1Y8tTuBW1YOFc6o2N9jLGM,212000,2017.0
Circles,Post Malone,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,215280,2019.0
I'm Not The Only One,Sam Smith,https://open.spotify.com/track/2hYlWnPvVZtQZGWfb35HPQ,239316,2014.0
Promiscuous,Nelly Furtado Featuring Timbaland,https://open.spotify.com/track/2gam98EZKrF9XuOkU13ApN,242293,2006.0
Love Story,Taylor Swift,https://open.spotify.com/track/5hnJCRSo4pxRsaEwT9YusG,235280,2008.0
I Took A Pill In Ibiza,Mike Posner,https://open.spotify.com/track/7vfWgVGiLgnGbInU5lvSQg,199226,2015.0
Firework,Katy Perry,https://open.spotify.com/track/1mXuMM6zjPgjL4asbBsgnt,227893,2010.0
Sicko Mode,Travis Scott,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,312820,2018.0
Hotline Bling,Drake,https://open.spotify.com/track/2FBUoWkIuQXwayw2RNo5l6,267066,2016.0
You're Beautiful,James Blunt,https://open.spotify.com/track/0vg4WnUWvze6pBOJDTq99k,209493,2005.0
Drivers License,Olivia Rodrigo,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS,242013,2021.0
We Are Young,fun. Featuring Janelle Monae,https://open.spotify.com/track/7a86XRg84qjasly9f6bPSD,250626,2012.0
Apologize,Timbaland Featuring OneRepublic,https://open.spotify.com/track/6ucR4KfvsBFWCMVFDvyKKl,184400,2007.0
Memories,Maroon 5,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,189486,2019.0
Low,Flo Rida Featuring T-Pain,https://open.spotify.com/track/0CAfXk7DXMnon4gLudAp7J,231400,2008.0
Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,https://open.spotify.com/track/7pYfyrMNPn3wtoCyqcTVoI,201493,2010.0
There's Nothing Holdin' Me Back,Shawn Mendes,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu,199440,2017.0
Stay,Rihanna Featuring Mikky Ekko,https://open.spotify.com/track/2QTcJmSgeLRtG1c82ZYHQc,240706,2013.0
Here Without You,3 Doors Down,https://open.spotify.com/track/3NLrRZoMF0Lx6zTlYqeIo4,238733,2002.0
Photograph,Ed Sheeran,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL,258986,2014.0
Bang Bang,"""Jessie J, Ariana Grande & Nicki Minaj""",https://open.spotify.com/track/0puf9yIluy9W0vpMEUoAnN,199386,2014.0
Don't Stop The Music,Rihanna,https://open.spotify.com/track/0ByMNEPAPpOR5H69DVrTNy,267080,2008.0
Payphone,Maroon 5 Featuring Wiz Khalifa,https://open.spotify.com/track/1XGmzt0PVuFgQYYnV2It7A,231173,2012.0
24K Magic,Bruno Mars,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,225983,2016.0
Work,Rihanna Featuring Drake,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v,219320,2016.0
We Belong Together,Mariah Carey,https://open.spotify.com/track/4EI8VuxUuIHKfafU72emqz,201400,2005.0
Titanium,David Guetta Featuring Sia,https://open.spotify.com/track/0TDLuuLlV54CkRRUOahJb4,245040,2012.0
Hotel California,Eagles,https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv,391376,1976.0
Good 4 U,Olivia Rodrigo,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG,178146,2021.0
Mood,24kGoldn Featuring iann dior,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,140525,2020.0
Last Christmas,Wham!,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78,262960,1984.0
Ride,Twenty One Pilots,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW,214506,2015.0
Montero (Call Me By Your Name),Lil Nas X,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd,137875,2021.0
September,"""Earth, Wind & Fire""",https://open.spotify.com/track/2grjqo0Frpf2okIBiifQKs,215005,1978.0
Complicated,Avril Lavigne,https://open.spotify.com/track/5xEM5hIgJ1jjgcEBfpkt2F,244506,2002.0
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),https://open.spotify.com/track/1LPSkqVhWVRUkKE03YUkpB,242096,2021.0
Thriller,Michael Jackson,https://open.spotify.com/track/2LlQb7Uoj1kKyGhlkBf9aC,358807,1982.0
Total Eclipse Of The Heart,Bonnie Tyler,https://open.spotify.com/track/7wuJGgpTNzbUyn26IOY6rj,267360,2009.0
Where Is The Love?,The Black Eyed Peas,https://open.spotify.com/track/1FreAz1lmnDi5aKLB6GdFM,272533,2003.0
Too Good At Goodbyes,Sam Smith,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,201000,2017.0
I Feel It Coming,The Weeknd Featuring Daft Punk,https://open.spotify.com/track/4RepvCWqsP6zBuzvwYibAS,269186,2016.0
Just Dance,Lady Gaga Featuring Colby O'Donis,https://open.spotify.com/track/3QuEpyj4kTRWiWuckd1hcK,241933,2009.0
Take A Bow,Rihanna,https://open.spotify.com/track/3goSVuTt3fDYDP6kRnFwuL,229413,2008.0
The Way I Are,Timbaland Featuring Keri Hilson,https://open.spotify.com/track/2bLqfJjuC5syrsgDsZfGmn,179120,2007.0
Side To Side,Ariana Grande Featuring Nicki Minaj,https://open.spotify.com/track/1pKeFVVUOPjFsOABub0OaV,226160,2016.0
She Will Be Loved,Maroon 5,https://open.spotify.com/track/4llK75pXNWZz6KAho2Gp16,259453,2002.0
The Reason,Hoobastank,https://open.spotify.com/track/77loZpT5Y5PRP1S451P9Yz,232800,2003.0
We Don't Talk Anymore,Charlie Puth Featuring Selena Gomez,https://open.spotify.com/track/06KyNuuMOX1ROXRhj787tj,217706,2016.0
Mi Gente,J Balvin & Willy William Featuring Beyonce,https://open.spotify.com/track/5r6X3m7zrVHmU2lSp3DXmP,187266,2017.0
Work From Home,Fifth Harmony Featuring Ty Dolla $ign,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb,214477,2016.0
Royals,Lorde,https://open.spotify.com/track/2dLLR6qlu5UJ5gk0dKz0h3,190185,2013.0
Humble.,Kendrick Lamar,https://open.spotify.com/track/7ujx3NYtwO2LkmKGz59mXp,177000,2017.0
Easy On Me,Adele,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds,224694,2021.0
Life Is Good,Future Featuring Drake,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc,237735,2020.0
Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,https://open.spotify.com/track/7mitXLIMCflkhZiD34uEQI,262146,2011.0
Cheerleader,OMI,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn,180021,2015.0
Stronger,Kanye West,https://open.spotify.com/track/4fzsfWzRhPawzqhX8Qt9F3,311866,2007.0
Lucid Dreams,Juice WRLD,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf,239835,2018.0
Lose Control,Teddy Swims,https://open.spotify.com/track/17phhZDn6oGtzMe56NuWvj,210688,2023.0
Set Fire To The Rain,Adele,https://open.spotify.com/track/3di5hcvxxciiqwMH1jarhY,242973,2011.0
Intentions,Justin Bieber Featuring Quavo,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV,212866,2020.0
Need You Now,Lady Antebellum,https://open.spotify.com/track/11EX5yhxr9Ihl3IN1asrfK,277573,2010.0
The Lazy Song,Bruno Mars,https://open.spotify.com/track/1ExfPZEiahqhLyajhybFeS,189109,2010.0
Don't Start Now,Dua Lipa,https://open.spotify.com/track/7dFC7tmwFknyPq3k32jiik,183290,2019.0
Fireflies,Owl City,https://open.spotify.com/track/3DamFFqW32WihKkTVlwTYQ,228346,2009.0
High Hopes,Panic! At The Disco,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,190946,2018.0
Only Girl (In The World),Rihanna,https://open.spotify.com/track/2ENexcMEMsYk0rVJigVD3i,235493,2010.0
Lollipop,Lil Wayne Featuring Static Major,https://open.spotify.com/track/5jnxxpX2834SB6LJ0S73Uz,299333,2008.0
Industry Baby,Lil Nas X & Jack Harlow,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk,212352,2021.0
Last Friday Night (T.G.I.F.),Katy Perry,https://open.spotify.com/track/3oHNJECGN3bBoGXejlw2b1,230733,2010.0
